frame,timestamp,qw,qx,qy,qz,tx,ty,tz,confidence
0,0.0,0.31505483,0.83386668,0.45070373,0.04767565,-0.255138,0.103516,0.833816,1.0
1,0.033333,0.35111938,0.8247674,0.43817694,0.06689459,-0.277174,0.103766,0.854638,0.8
2,0.066667,0.38653033,0.81121546,0.42890578,0.09253975,-0.292033,0.105605,0.872198,0.8
3,0.1,0.39668617,0.80169156,0.43227887,0.11430532,-0.283241,0.106232,0.870724,0.8
4,0.133333,0.40754775,0.79360297,0.43404893,0.12530239,-0.283423,0.106196,0.871129,0.8
5,0.166667,0.40700797,0.79269983,0.43670546,0.12353069,-0.283919,0.106295,0.871986,0.8
6,0.2,0.40741749,0.79190579,0.43738987,0.12484519,-0.283939,0.106298,0.87189,0.8
7,0.233333,0.41001761,0.79007666,0.43881425,0.12290843,-0.283683,0.106172,0.870935,0.8
8,0.266667,0.4103838,0.78945097,0.43971412,0.12249003,-0.283689,0.106166,0.870866,0.8
9,0.3,0.40997639,0.78941836,0.44015559,0.12247886,-0.283786,0.106197,0.871116,0.8
10,0.333333,0.40996863,0.78921174,0.44055419,0.12240329,-0.2838,0.106198,0.871125,0.8
11,0.366667,0.4111714,0.78821413,0.44132323,0.12202612,-0.283671,0.106156,0.870672,0.8
12,0.4,0.41414964,0.78636801,0.44241144,0.11990643,-0.283141,0.105987,0.868978,0.8
13,0.433333,0.41799916,0.78423322,0.44323463,0.11746497,-0.282359,0.105748,0.866513,0.8
14,0.466667,0.42058908,0.78293081,0.44315378,0.11721304,-0.281869,0.105578,0.864992,0.8
15,0.5,0.42150574,0.78278425,0.44210739,0.1188393,-0.281669,0.105478,0.864423,0.8
16,0.533333,0.42178042,0.78322876,0.44041538,0.12119517,-0.281526,0.105408,0.864093,0.8
17,0.566667,0.42079283,0.78435473,0.43846419,0.12437925,-0.281635,0.105453,0.864598,0.8
18,0.6,0.42002042,0.78491164,0.43770719,0.1261308,-0.281628,0.105455,0.864648,0.8
19,0.633333,0.41982308,0.784941,0.43770137,0.12662433,-0.281468,0.105387,0.864143,0.8
20,0.666667,0.42016491,0.78460246,0.43798287,0.12661526,-0.281147,0.105278,0.863128,0.8
21,0.7,0.42050118,0.78435545,0.43816294,0.12640618,-0.280886,0.105187,0.862315,0.8
22,0.733333,0.42046834,0.78449879,0.43793253,0.12642439,-0.280939,0.105194,0.86249,0.8
23,0.766667,0.42096473,0.78445177,0.43780287,0.12551003,-0.280781,0.105129,0.862021,0.8
24,0.8,0.42213988,0.78386379,0.43832405,0.12339978,-0.280042,0.104917,0.859812,0.8
25,0.833333,0.42388104,0.78261979,0.4395486,0.1209469,-0.278817,0.104578,0.856113,0.8
26,0.866667,0.4252087,0.78160433,0.44059873,0.11901678,-0.277923,0.104289,0.853365,0.8
27,0.9,0.42566843,0.78111603,0.4414395,0.11745338,-0.277641,0.104144,0.852442,0.8
28,0.933333,0.42603335,0.78077809,0.44197484,0.11635891,-0.277462,0.104035,0.851836,0.8
29,0.966667,0.42711733,0.78012048,0.44229533,0.11557536,-0.276408,0.103686,0.84859,0.8
30,1.0,0.42836107,0.77908973,0.44320521,0.11443395,-0.27505,0.103252,0.844433,0.8
31,1.033333,0.42826536,0.77880365,0.44383213,0.11430966,-0.274841,0.103168,0.843818,0.8
32,1.066667,0.42664538,0.77948398,0.44386327,0.11560208,-0.275313,0.103317,0.845311,0.8
33,1.1,0.42481127,0.78030318,0.44371052,0.11740235,-0.275903,0.103553,0.847216,0.8
34,1.133333,0.42304818,0.78132959,0.44299864,0.1196098,-0.276637,0.103873,0.849644,0.8
35,1.166667,0.42073439,0.78243836,0.44258483,0.12203058,-0.277709,0.104396,0.85306,0.8
36,1.2,0.41717583,0.78354915,0.44326658,0.12461859,-0.279988,0.105637,0.859814,0.8
37,1.233333,0.41283674,0.78482724,0.44426784,0.12742883,-0.282872,0.107207,0.868369,0.8
38,1.266667,0.40881483,0.78610338,0.44494575,0.13013528,-0.285344,0.108387,0.875827,0.8
39,1.3,0.40554168,0.78703892,0.44548929,0.13283439,-0.287331,0.109157,0.881891,0.8
40,1.333333,0.40411748,0.78713713,0.44614307,0.1343896,-0.288897,0.1094,0.886097,0.8
41,1.366667,0.40384544,0.78704738,0.44626086,0.13533859,-0.290119,0.109376,0.889003,0.8
42,1.4,0.40339799,0.78730942,0.44575912,0.13679453,-0.291164,0.109464,0.891781,0.8
43,1.433333,0.40190768,0.78733958,0.44691963,0.13722042,-0.293179,0.109996,0.896254,0.8
44,1.466667,0.39915939,0.78726751,0.4491787,0.13827561,-0.295554,0.110807,0.901588,0.8
45,1.5,0.39634455,0.78731964,0.45095411,0.1402825,-0.29744,0.111514,0.906391,0.8
46,1.533333,0.39485099,0.78694711,0.45196187,0.14330879,-0.298801,0.111978,0.910266,0.8
47,1.566667,0.39483654,0.78645857,0.45150895,0.14739978,-0.299565,0.112165,0.912981,0.8
48,1.6,0.39510805,0.78584838,0.45108292,0.15118251,-0.300476,0.112414,0.916007,0.8
49,1.633333,0.39539457,0.78470868,0.45162203,0.15470282,-0.301565,0.112761,0.919285,0.8
50,1.666667,0.39558587,0.78370194,0.4520893,0.15791883,-0.302625,0.1131,0.92241,0.8
51,1.7,0.39570295,0.78309129,0.45203007,0.1607981,-0.303593,0.113394,0.925298,0.8
52,1.733333,0.39612169,0.78275071,0.4515182,0.16285037,-0.304255,0.11352,0.927161,0.8
53,1.766667,0.39705125,0.78241729,0.45070899,0.16442293,-0.304677,0.11354,0.92828,0.8
54,1.8,0.39844001,0.78193078,0.44976942,0.16594362,-0.304954,0.113535,0.92897,0.8
55,1.833333,0.3999892,0.78142753,0.44870342,0.16746613,-0.305201,0.113544,0.929617,0.8
56,1.866667,0.40109506,0.78107227,0.44763378,0.16933062,-0.305494,0.113609,0.930459,0.8
57,1.9,0.40195387,0.78062947,0.44672189,0.17172733,-0.305629,0.113639,0.930756,0.8
58,1.933333,0.40300353,0.7799361,0.44603817,0.17417743,-0.305547,0.113588,0.930289,0.8
