frame,timestamp,qw,qx,qy,qz,tx,ty,tz,confidence
0,0.0,0.04053798,0.45416545,0.8079084,-0.37332885,-0.272097,0.096923,0.821673,1.0
1,0.033333,0.01254611,0.39546931,0.83608816,-0.38000421,-0.278566,0.087834,0.82707,0.8
2,0.066667,-0.02464048,0.36092351,0.8550347,-0.37154103,-0.283537,0.083573,0.837474,0.8
3,0.1,-0.03099666,0.39076077,0.84839345,-0.35577209,-0.283584,0.089107,0.842577,0.8
4,0.133333,-0.03297555,0.39856826,0.84617766,-0.35219217,-0.283746,0.089163,0.842011,0.8
5,0.166667,-0.03950757,0.40423913,0.84404869,-0.35015951,-0.283838,0.089229,0.841789,0.8
6,0.2,-0.04315439,0.40804717,0.84260431,-0.34878818,-0.28378,0.089237,0.841363,0.8
7,0.233333,-0.04631877,0.41142225,0.84153161,-0.34700268,-0.283293,0.089076,0.83968,0.8
8,0.266667,-0.04811811,0.41407582,0.84067429,-0.34567702,-0.283224,0.089067,0.839274,0.8
9,0.3,-0.04914164,0.41624994,0.83972483,-0.34522935,-0.283283,0.089118,0.83929,0.8
10,0.333333,-0.05054871,0.41806742,0.83897115,-0.34466198,-0.283234,0.089122,0.839029,0.8
11,0.366667,-0.05269657,0.41958826,0.83838587,-0.34391553,-0.283054,0.089069,0.838455,0.8
12,0.4,-0.05538333,0.42089032,0.83771828,-0.34352891,-0.28239,0.088849,0.836532,0.8
13,0.433333,-0.05895131,0.4219437,0.83684737,-0.34376553,-0.281404,0.088535,0.833841,0.8
14,0.466667,-0.06265168,0.42281833,0.8360694,-0.34392933,-0.280827,0.088358,0.832316,0.8
15,0.5,-0.06531735,0.42379594,0.83559876,-0.34337351,-0.280702,0.08831,0.831897,0.8
16,0.533333,-0.06722874,0.42483204,0.83521426,-0.34265898,-0.28071,0.088308,0.831789,0.8
17,0.566667,-0.06868851,0.42572245,0.83482752,-0.3422065,-0.280991,0.088417,0.832513,0.8
18,0.6,-0.07040793,0.42656359,0.83455097,-0.3414834,-0.281019,0.088419,0.832529,0.8
19,0.633333,-0.07253991,0.42736975,0.83436291,-0.3404873,-0.280799,0.088322,0.831847,0.8
20,0.666667,-0.07470071,0.42809194,0.83413787,-0.33966324,-0.280413,0.088173,0.83072,0.8
21,0.7,-0.07642771,0.42879861,0.8338604,-0.33906842,-0.280115,0.088067,0.829815,0.8
22,0.733333,-0.07771619,0.42948628,0.83353559,-0.33870364,-0.280147,0.088096,0.829844,0.8
23,0.766667,-0.07875471,0.4301975,0.83314669,-0.33851795,-0.279933,0.088043,0.829133,0.8
24,0.8,-0.08034728,0.43092407,0.832794,-0.33808713,-0.279118,0.087746,0.826754,0.8
25,0.833333,-0.08272525,0.43158378,0.83250017,-0.33739508,-0.277849,0.087263,0.823169,0.8
26,0.866667,-0.0847408,0.43220182,0.83223854,-0.33674856,-0.276924,0.086914,0.820461,0.8
27,0.9,-0.0860581,0.4328341,0.83196742,-0.33627201,-0.276544,0.086783,0.819197,0.8
28,0.933333,-0.08711851,0.43345122,0.83161043,-0.33608705,-0.276207,0.086691,0.818079,0.8
