frame,timestamp,qw,qx,qy,qz,tx,ty,tz,confidence
0,0.0,0.31505229,0.83387078,0.45069455,0.04770751,-0.25514,0.10352,0.833825,1.0
1,0.033333,0.35121609,0.82508873,0.43747882,0.0669935,-0.277172,0.103757,0.854669,0.8
2,0.066667,0.38624066,0.81197001,0.42773908,0.09253179,-0.292027,0.105609,0.872184,0.8
3,0.1,0.39677106,0.80219133,0.43126147,0.11434749,-0.283193,0.106214,0.870575,0.8
4,0.133333,0.40823935,0.7937561,0.4329685,0.12581801,-0.283347,0.106168,0.870934,0.8
5,0.166667,0.40761694,0.79319801,0.43493208,0.12457696,-0.283833,0.106266,0.871803,0.8
6,0.2,0.40786143,0.7927442,0.43497863,0.12648824,-0.283845,0.106266,0.871712,0.8
7,0.233333,0.41010905,0.79084746,0.43682287,0.12472628,-0.283601,0.106148,0.870768,0.8
8,0.266667,0.41046229,0.79011382,0.43794187,0.12428913,-0.283613,0.106145,0.870704,0.8
9,0.3,0.41013677,0.78987037,0.43865463,0.12439756,-0.283705,0.106175,0.870924,0.8
10,0.333333,0.41026602,0.78927645,0.43961978,0.1243339,-0.2837,0.106171,0.870848,0.8
11,0.366667,0.41150692,0.78809634,0.44071901,0.12382632,-0.283563,0.106126,0.870357,0.8
12,0.4,0.41435098,0.78632996,0.44178624,0.12175132,-0.28305,0.105959,0.868717,0.8
13,0.433333,0.41810578,0.78422849,0.44262682,0.11939321,-0.282267,0.105721,0.866256,0.8
14,0.466667,0.42056281,0.7828587,0.44289869,0.11874316,-0.281759,0.105547,0.864672,0.8
15,0.5,0.42125556,0.78279933,0.44195123,0.12020009,-0.281561,0.105446,0.864115,0.8
16,0.533333,0.42152301,0.78319085,0.44038442,0.12244189,-0.281438,0.105383,0.863835,0.8
17,0.566667,0.42054994,0.78422735,0.4386266,0.12542696,-0.281545,0.105426,0.864321,0.8
18,0.6,0.41966119,0.78487833,0.43780915,0.12717564,-0.281541,0.105427,0.864386,0.8
19,0.633333,0.41946752,0.78497913,0.43766503,0.12768751,-0.281397,0.105365,0.86394,0.8
20,0.666667,0.41984137,0.78466579,0.43785124,0.12774627,-0.281093,0.105261,0.862982,0.8
21,0.7,0.42020542,0.78439181,0.43806065,0.12751378,-0.280854,0.105178,0.862228,0.8
22,0.733333,0.42019416,0.78451479,0.43783208,0.12757932,-0.280912,0.105187,0.862416,0.8
23,0.766667,0.42071451,0.78447006,0.43762378,0.12685208,-0.280752,0.105123,0.861943,0.8
24,0.8,0.42192568,0.78389147,0.43807576,0.12482991,-0.280015,0.104911,0.859743,0.8
25,0.833333,0.4235739,0.78266051,0.43941541,0.12223658,-0.278818,0.104581,0.856145,0.8
26,0.866667,0.42479362,0.78163734,0.44065911,0.12005415,-0.277945,0.1043,0.853472,0.8
27,0.9,0.42532738,0.78118691,0.44140472,0.11834486,-0.277657,0.104153,0.852534,0.8
28,0.933333,0.42576167,0.78093745,0.44171065,0.1172834,-0.277468,0.104039,0.851907,0.8
29,0.966667,0.42684538,0.78029502,0.44201423,0.11647369,-0.276409,0.103694,0.848652,0.8
30,1.0,0.42809808,0.779205,0.44306029,0.1151919,-0.275053,0.103267,0.844497,0.8
31,1.033333,0.42801148,0.77889027,0.44374709,0.11499843,-0.274844,0.103181,0.843872,0.8
32,1.066667,0.42642176,0.77952306,0.4438499,0.11621333,-0.275313,0.103324,0.845333,0.8
33,1.1,0.42462525,0.78030682,0.44375299,0.11788956,-0.275899,0.103552,0.847207,0.8
34,1.133333,0.42290496,0.781323,0.44300194,0.1201459,-0.276621,0.103869,0.849611,0.8
35,1.166667,0.42059095,0.78244714,0.44252929,0.1226685,-0.277687,0.104394,0.853022,0.8
36,1.2,0.41695588,0.78362803,0.44315819,0.12524264,-0.279976,0.105643,0.859793,0.8
37,1.233333,0.41249304,0.7849734,0.44416243,0.12800774,-0.282874,0.107223,0.868344,0.8
38,1.266667,0.4084938,0.78620202,0.44490227,0.13069493,-0.285344,0.108394,0.875786,0.8
39,1.3,0.4053034,0.78706442,0.44551299,0.13333015,-0.287329,0.109149,0.881835,0.8
40,1.333333,0.40388308,0.78714341,0.44621875,0.13480554,-0.288887,0.109385,0.886001,0.8
41,1.366667,0.40366206,0.7870196,0.44634094,0.13578239,-0.29009,0.109358,0.888876,0.8
42,1.4,0.40318798,0.78727101,0.44587528,0.13725539,-0.291138,0.109453,0.891666,0.8
43,1.433333,0.40168125,0.78728368,0.44707244,0.13770552,-0.293157,0.109989,0.896162,0.8
44,1.466667,0.39898272,0.78719648,0.44932029,0.13872911,-0.295541,0.110801,0.901528,0.8
45,1.5,0.39618115,0.78725024,0.45110376,0.14065191,-0.297448,0.111511,0.906371,0.8
46,1.533333,0.39470914,0.78687246,0.45210509,0.14365726,-0.298813,0.111976,0.910266,0.8
47,1.566667,0.39466646,0.78642479,0.45160018,0.14775558,-0.299576,0.112167,0.912998,0.8
48,1.6,0.39488971,0.78593037,0.45102804,0.15149019,-0.300493,0.112419,0.916068,0.8
49,1.633333,0.39520289,0.78483991,0.45148582,0.15492437,-0.301589,0.112763,0.919365,0.8
50,1.666667,0.39544653,0.78382013,0.45194548,0.15809275,-0.30265,0.1131,0.922484,0.8
51,1.7,0.39557865,0.78325047,0.45180271,0.16096754,-0.303611,0.113393,0.925366,0.8
52,1.733333,0.39601135,0.78292418,0.4512469,0.16303671,-0.304263,0.113517,0.927208,0.8
53,1.766667,0.39693359,0.78256502,0.45050705,0.16455732,-0.304681,0.113536,0.928291,0.8
54,1.8,0.39835286,0.78203236,0.44964018,0.16602441,-0.304952,0.113528,0.928949,0.8
55,1.833333,0.39996648,0.78148063,0.44858414,0.16759209,-0.305197,0.11354,0.929595,0.8
56,1.866667,0.40108642,0.78110217,0.44752118,0.1695107,-0.305486,0.113606,0.93043,0.8
57,1.9,0.40190744,0.78063784,0.44667208,0.17192739,-0.305615,0.113634,0.930698,0.8
58,1.933333,0.4029061,0.77994837,0.44603245,0.17436245,-0.30553,0.113582,0.930225,0.8
59,1.966667,0.40441184,0.77900528,0.44549501,0.17645406,-0.305252,0.113459,0.929078,0.8
60,2.0,0.4054013,0.77844006,0.44495889,0.17802373,-0.305263,0.11345,0.928989,0.8
61,2.033333,0.40513275,0.7784558,0.44470644,0.17919319,-0.305737,0.11363,0.930467,0.8
62,2.066667,0.40464599,0.77836671,0.44466643,0.18077235,-0.306233,0.113838,0.931987,0.8
63,2.1,0.40423175,0.77809503,0.44464745,0.18290288,-0.306787,0.114089,0.933712,0.8
64,2.133333,0.40349413,0.777725,0.44499043,0.18525613,-0.307323,0.114334,0.935299,0.8
65,2.166667,0.40274567,0.77745631,0.44525266,0.18737046,-0.30785,0.114554,0.936857,0.8
66,2.2,0.40227423,0.77738231,0.44517132,0.18887742,-0.308484,0.114785,0.938783,0.8
67,2.233333,0.40241454,0.77729597,0.44492939,0.18950291,-0.308867,0.114873,0.939891,0.8
68,2.266667,0.40316967,0.7769903,0.44457178,0.18999007,-0.308902,0.114827,0.939919,0.8
69,2.3,0.40378217,0.776677,0.44433237,0.19052965,-0.30899,0.114819,0.940114,0.8
70,2.333333,0.40390035,0.77660899,0.44409635,0.1911058,-0.30936,0.114938,0.941231,0.8
71,2.366667,0.40400372,0.77661695,0.44386359,0.19139545,-0.309523,0.114981,0.94173,0.8
72,2.4,0.40385574,0.77640246,0.445124,0.18964281,-0.308019,0.113916,0.936338,0.8
73,2.433333,0.40338175,0.77595597,0.44710748,0.18780413,-0.30612,0.111628,0.928406,0.8
74,2.466667,0.4028356,0.7759522,0.4477671,0.18742009,-0.305101,0.107234,0.920739,0.8
75,2.5,0.40193344,0.7760484,0.44834198,0.18758426,-0.306751,0.100284,0.916406,0.8
76,2.533333,0.40534123,0.77359641,0.44786327,0.19148258,-0.310811,0.091444,0.9142,0.8
