frame,timestamp,qw,qx,qy,qz,tx,ty,tz,confidence
0,0.0,0.31425393,0.93228017,0.17142343,-0.05207838,-0.255154,0.103528,0.83384,1.0
1,0.033333,0.3638172,0.91278462,0.18367129,0.02694688,-0.27268,0.102048,0.844414,0.8
2,0.066667,0.42268089,0.883371,0.17392105,0.10367264,-0.286221,0.10179,0.860267,0.8
3,0.1,0.45001017,0.87396717,0.14219965,0.11598057,-0.28215,0.104349,0.873081,0.8
4,0.133333,0.47001548,0.86404641,0.12953736,0.12541658,-0.283846,0.105144,0.877912,0.8
5,0.166667,0.47893403,0.86090398,0.12288434,0.11985813,-0.2846,0.105394,0.879074,0.8
6,0.2,0.48597318,0.85862277,0.11342691,0.11718081,-0.28482,0.105495,0.879544,0.8
7,0.233333,0.49178494,0.85644613,0.1076665,0.11426081,-0.284552,0.105447,0.878562,0.8
8,0.266667,0.49599217,0.85467463,0.10340132,0.11327492,-0.284586,0.105515,0.87863,0.8
9,0.3,0.49899925,0.85353782,0.09922748,0.11236928,-0.284697,0.105587,0.878968,0.8
10,0.333333,0.50100767,0.85280631,0.09699007,0.11093082,-0.284693,0.10562,0.878914,0.8
11,0.366667,0.50295674,0.85193408,0.09587567,0.10977565,-0.284502,0.105597,0.878298,0.8
12,0.4,0.50466215,0.85099064,0.0953367,0.10973587,-0.283797,0.105399,0.876115,0.8
13,0.433333,0.5058773,0.85019485,0.09422468,0.11125905,-0.282795,0.10508,0.872985,0.8
14,0.466667,0.50671287,0.84959014,0.09318202,0.11294149,-0.282226,0.104899,0.871216,0.8
15,0.5,0.50715344,0.84917117,0.0929807,0.11427294,-0.282089,0.10487,0.870814,0.8
16,0.533333,0.50772866,0.8487347,0.09258677,0.11527666,-0.28205,0.104868,0.87072,0.8
17,0.566667,0.50806058,0.84852615,0.09189007,0.11590529,-0.282328,0.104971,0.871624,0.8
18,0.6,0.50829078,0.84838217,0.09130648,0.11641008,-0.282376,0.104991,0.871807,0.8
19,0.633333,0.5086973,0.84810006,0.09092967,0.11698349,-0.282135,0.104908,0.871079,0.8
20,0.666667,0.50916432,0.84778357,0.09043114,0.11763045,-0.281673,0.10475,0.869673,0.8
21,0.7,0.5097364,0.84742494,0.08995112,0.11810407,-0.281344,0.104637,0.868681,0.8
22,0.733333,0.51020273,0.84716769,0.08919725,0.1185071,-0.281446,0.104666,0.869027,0.8
23,0.766667,0.51057491,0.84698785,0.08841346,0.1187767,-0.281313,0.104611,0.868657,0.8
24,0.8,0.5107898,0.84682889,0.08781285,0.11942994,-0.280469,0.104298,0.866035,0.8
25,0.833333,0.51093602,0.84655883,0.08717923,0.1211706,-0.279116,0.103788,0.8617,0.8
26,0.866667,0.51095033,0.84644751,0.08618685,0.12258956,-0.278124,0.103408,0.858619,0.8
27,0.9,0.51081983,0.84657502,0.08518308,0.12295403,-0.277628,0.103217,0.857263,0.8
28,0.933333,0.51083261,0.84661738,0.08435588,0.12317929,-0.277182,0.103057,0.85603,0.8
29,0.966667,0.51118026,0.84623042,0.08362072,0.12488554,-0.27616,0.102683,0.852631,0.8
30,1.0,0.51139806,0.84583124,0.08301834,0.12708064,-0.274903,0.10222,0.848546,0.8
31,1.033333,0.51125548,0.84583782,0.08255126,0.1279121,-0.274563,0.102103,0.847696,0.8
32,1.066667,0.51079645,0.84609537,0.08223991,0.12824276,-0.274973,0.102267,0.849169,0.8
33,1.1,0.51015886,0.84642236,0.08173464,0.12894405,-0.275723,0.102568,0.851689,0.8
34,1.133333,0.50929056,0.84674151,0.08163396,0.13033737,-0.276759,0.103019,0.855036,0.8
35,1.166667,0.50797573,0.84730463,0.08064992,0.1324051,-0.277937,0.103551,0.859067,0.8
36,1.2,0.50461927,0.84895732,0.07975357,0.13516743,-0.279918,0.104725,0.865651,0.8
37,1.233333,0.50020834,0.8510839,0.079992,0.13801846,-0.28229,0.106078,0.873209,0.8
38,1.266667,0.49737849,0.8524591,0.07906274,0.1402755,-0.2843,0.106864,0.879621,0.8
39,1.3,0.49591728,0.85315842,0.07752814,0.14204274,-0.286228,0.107414,0.885668,0.8
40,1.333333,0.49560197,0.8530551,0.0782256,0.14337518,-0.288127,0.10786,0.890475,0.8
41,1.366667,0.49685806,0.85206062,0.08121744,0.14327769,-0.290001,0.108187,0.894213,0.8
42,1.4,0.49908092,0.8506504,0.08450636,0.14202398,-0.291532,0.108419,0.897292,0.8
43,1.433333,0.50023183,0.84999512,0.08575869,0.14114479,-0.293295,0.108795,0.901439,0.8
44,1.466667,0.50045331,0.84986533,0.08490333,0.14165743,-0.295495,0.109392,0.90735,0.8
45,1.5,0.50104783,0.84930341,0.08436446,0.14323907,-0.297562,0.110039,0.913303,0.8
46,1.533333,0.50201748,0.84849338,0.08507603,0.14422035,-0.29956,0.110658,0.918723,0.8
47,1.566667,0.50286073,0.84802938,0.08661625,0.1430905,-0.301341,0.111155,0.923019,0.8
48,1.6,0.50375845,0.84763197,0.08830017,0.14124641,-0.30303,0.111621,0.927155,0.8
49,1.633333,0.50478837,0.84703063,0.08944561,0.14045391,-0.304782,0.112172,0.932041,0.8
50,1.666667,0.50561099,0.84655831,0.09009174,0.13992869,-0.306349,0.112701,0.936624,0.8
51,1.7,0.50651361,0.84605748,0.09098646,0.13911204,-0.307438,0.11308,0.939744,0.8
52,1.733333,0.50771964,0.84541663,0.09171957,0.1381268,-0.307892,0.113252,0.941078,0.8
53,1.766667,0.50865299,0.84498421,0.09257767,0.13675958,-0.307945,0.113303,0.941251,0.8
54,1.8,0.50913127,0.84478705,0.09363589,0.13547145,-0.307709,0.113268,0.940597,0.8
55,1.833333,0.50932344,0.84473868,0.09456474,0.1344013,-0.307416,0.113205,0.939803,0.8
56,1.866667,0.5094504,0.84479936,0.09532923,0.13299125,-0.307548,0.113256,0.940194,0.8
57,1.9,0.50968149,0.84479099,0.09611811,0.13158372,-0.307717,0.113321,0.940683,0.8
58,1.933333,0.50988968,0.84475163,0.09673823,0.13057152,-0.307525,0.113276,0.940185,0.8
59,1.966667,0.51002994,0.84472145,0.09712614,0.1299294,-0.307072,0.113138,0.938936,0.8
60,2.0,0.51036761,0.84457414,0.09777029,0.12907515,-0.307079,0.113143,0.93893,0.8
61,2.033333,0.51092722,0.8443307,0.09831397,0.12803674,-0.307876,0.113398,0.941203,0.8
62,2.066667,0.51129659,0.84419677,0.09882775,0.12704599,-0.308809,0.113706,0.94389,0.8
63,2.1,0.51152006,0.84407779,0.09960549,0.1263276,-0.309752,0.114047,0.946623,0.8
64,2.133333,0.5118267,0.84388617,0.10006098,0.12600539,-0.310683,0.114386,0.949433,0.8
65,2.166667,0.51235532,0.84359776,0.09996268,0.12586624,-0.311284,0.1146,0.951351,0.8
66,2.2,0.51306666,0.84318979,0.09971071,0.12590217,-0.31152,0.114697,0.952178,0.8
67,2.233333,0.5138593,0.84274666,0.0991344,0.12609145,-0.3112,0.114609,0.951274,0.8
68,2.266667,0.51460756,0.84234658,0.09828383,0.1263787,-0.310611,0.114422,0.949559,0.8
69,2.3,0.5152937,0.84195501,0.09761963,0.12670662,-0.310249,0.114307,0.948522,0.8
70,2.333333,0.51595955,0.84155968,0.09714438,0.12698824,-0.310266,0.114316,0.948622,0.8
71,2.366667,0.51659247,0.84117646,0.0970896,0.12699603,-0.31022,0.114316,0.948497,0.8
72,2.4,0.51646205,0.8412908,0.09752899,0.12643113,-0.308766,0.113098,0.942944,0.8
73,2.433333,0.51639294,0.84147619,0.09767888,0.12535942,-0.307119,0.110808,0.93569,0.8
74,2.466667,0.51759541,0.84090098,0.09762041,0.12430117,-0.306023,0.10675,0.927734,0.8
75,2.5,0.51837808,0.84005494,0.09691975,0.12727305,-0.306981,0.099814,0.920695,0.8
76,2.533333,0.51778969,0.83930665,0.0961686,0.13494362,-0.310741,0.09081,0.917383,0.8
77,2.566667,0.51646558,0.83854289,0.09378207,0.1459933,-0.315695,0.080924,0.91677,0.8
78,2.6,0.51536156,0.83678019,0.08775635,0.16278881,-0.32317,0.071231,0.922482,0.8
79,2.633333,0.5158534,0.83327206,0.07442207,0.18442965,-0.330752,0.05998,0.926263,0.8
80,2.666667,0.5139024,0.83001231,0.05635586,0.20930339,-0.337392,0.049579,0.928581,0.8
81,2.7,0.51241442,0.82710148,0.03614114,0.22809741,-0.342558,0.042832,0.93188,0.8
82,2.733333,0.51215013,0.82379696,0.0185835,0.24231275,-0.346346,0.03696,0.934075,0.8
83,2.766667,0.50485267,0.82227979,0.00339725,0.26261795,-0.350008,0.029671,0.940732,0.8
84,2.8,0.50173968,0.82033258,-0.01044542,0.274231,-0.347601,0.020125,0.944357,0.8
85,2.833333,0.51961935,0.80900245,-0.03980861,0.27189344,-0.339804,0.009398,0.950854,0.8
